auction_id,item_id,context,item_level,buyout,quantity,time_left
929614200,193392,13,28,3754300,1,MEDIUM
929614223,193482,13,28,4752900,1,MEDIUM
929614247,193394,13,28,10264800,1,MEDIUM
929614294,193388,13,28,3331400,1,MEDIUM
929614315,193486,13,28,2137500,1,MEDIUM
929614344,193390,13,28,7633600,1,MEDIUM
929614384,193393,13,28,2378400,1,MEDIUM
929622750,3816,1,9,18660000,1,MEDIUM
929623608,2438,14,28,5000000,1,MEDIUM
929624242,30777,14,28,5000000,1,MEDIUM
929625046,2989,1,9,3600000,1,MEDIUM
929625887,6270,14,28,5000000,1,MEDIUM
929638707,118378,,,455787300,1,MEDIUM
929638883,118376,,,229893300,1,MEDIUM
929639195,118379,,,800008400,1,MEDIUM
929639713,171416,65,28,800000000,1,MEDIUM
929640776,171412,65,28,800000000,1,MEDIUM
929641252,172328,66,28,600000000,1,MEDIUM
929641556,22279,,,3000000100,1,MEDIUM
929642053,118375,,,800008400,1,MEDIUM
929642202,82800,,6,199999300,1,MEDIUM
929642562,171417,64,28,300000000,1,MEDIUM
929642790,82800,,6,50002000,1,MEDIUM
929643409,82800,,6,299997600,1,MEDIUM
929643907,178926,64,28,250000000,1,MEDIUM
929656407,82255,,9,722700,1,MEDIUM
929656494,82255,,9,722700,1,MEDIUM
929656716,82250,,9,117100,1,MEDIUM
929657521,82283,,9,139100,1,MEDIUM
929657760,82280,,9,139100,1,MEDIUM
929657843,82254,,9,261200,1,MEDIUM
929670499,1776,1,9,12900000,1,MEDIUM
929670708,1799,1,9,10000000,1,MEDIUM
929670901,2765,1,9,10000000,1,MEDIUM
929671061,1820,1,9,11640000,1,MEDIUM
929671252,2783,1,9,10000000,1,MEDIUM
929671451,4706,1,9,2750000,1,MEDIUM
929671594,4713,1,9,850000,1,MEDIUM
929671811,6568,1,9,10000000,1,MEDIUM
929671997,9815,1,9,1050000,1,MEDIUM
929672173,9814,1,9,10000000,1,MEDIUM
929672414,6580,1,9,500000,1,MEDIUM
929675734,161138,23,28,24990000,1,MEDIUM
929683710,121044,,9,4134500,1,MEDIUM
929683804,159809,,9,95000,1,MEDIUM
929683967,24778,,9,4042100,1,MEDIUM
929684503,25067,,9,452000,1,MEDIUM
929684579,36064,5,9,2732000,1,MEDIUM
929684654,36149,4,9,2753000,1,MEDIUM
929684738,36400,5,9,720500,1,MEDIUM
929684822,37770,6,9,4744200,1,MEDIUM
929684908,45274,5,9,18041400,1,MEDIUM
929685007,55430,,9,714300,1,MEDIUM
929685388,55648,,9,2335700,1,MEDIUM
929685476,59464,3,9,54533300,1,MEDIUM
929685553,81966,,9,433400,1,MEDIUM
929686552,171208,,,10404600,1,MEDIUM
929687981,45092,5,28,14247800,1,MEDIUM
929688130,82800,,6,8213600,1,MEDIUM
929688153,82800,,6,8213600,1,MEDIUM
929688347,82800,,6,90250000,1,MEDIUM
929688405,82800,,6,14259500,1,MEDIUM
929688511,82800,,6,38009500,1,MEDIUM
929688527,82800,,6,38009500,1,MEDIUM
929688554,82800,,6,38009500,1,MEDIUM
929688656,82800,,6,85500000,1,MEDIUM
929688732,82800,,6,3325000,1,MEDIUM
929688749,82800,,6,3325000,1,MEDIUM
929688772,82800,,6,3325000,1,MEDIUM
929688791,82800,,6,3325000,1,MEDIUM
929688908,82800,,6,33250000,1,MEDIUM
929688997,82800,,6,72328000,1,MEDIUM
929689076,82800,,6,16331300,1,MEDIUM
929689099,82800,,6,16331300,1,MEDIUM
929689209,82800,,6,1399600,1,MEDIUM
929689282,82800,,6,10450000,1,MEDIUM
929689399,82800,,6,11875000,1,MEDIUM
929689486,82800,,6,28499800,1,MEDIUM
929689581,82800,,6,54537500,1,MEDIUM
929689725,82800,,6,114000000,1,MEDIUM
929689839,82800,,6,154962700,1,MEDIUM
929689932,82800,,6,7125100,1,MEDIUM
929690005,82800,,6,74603300,1,MEDIUM
929690095,118344,1,,88288400,1,MEDIUM
929690163,118346,1,,86057100,1,MEDIUM
929693117,55528,22,9,35002200,1,MEDIUM
929693417,76154,22,9,500000000,1,MEDIUM
929693789,199008,,9,1000000,1,MEDIUM
929693870,55728,22,9,509000,1,MEDIUM
929694222,199015,,9,4480600,1,MEDIUM
929694406,198993,,9,10001600,1,MEDIUM
929695437,82800,,6,75003100,1,MEDIUM
929695949,82800,,6,55009900,1,MEDIUM
929696410,82800,,6,60009100,1,MEDIUM
929698340,198087,,,69000000,1,MEDIUM
929698359,198087,,,69000000,1,MEDIUM
929698378,198087,,,69000000,1,MEDIUM
929698407,198087,,,69000000,1,MEDIUM
929739810,44709,14,,110079200,1,LONG
929740172,103977,,,15550100,1,LONG
929740603,48933,,,225000000,1,LONG
929740847,133713,,,31550100,1,LONG
929741097,133705,,,31550100,1,LONG
929741243,17725,11,,4940000,1,LONG
929741392,133712,,,31550100,1,LONG
929741661,128310,31,28,4844600,1,LONG
929742245,168808,13,,225007200,1,LONG
929742444,17720,11,,5400000,1,LONG
929742699,34828,14,28,250000000,1,LONG
929742771,201944,13,28,4850000,1,LONG
929743039,133704,14,,31554600,1,LONG
929743229,17720,11,28,5400000,1,LONG
929743545,116690,11,,535000100,1,LONG
929743603,199010,,9,2009600,1,LONG
929743741,116692,11,,483939500,1,LONG
929743889,199020,,9,920000,1,LONG
929744208,107218,,,535001700,1,LONG
929744378,129958,13,,90000000,1,LONG
929744542,34827,1,,252500000,1,LONG
929745064,191304,13,28,1250000,1,LONG
929745079,191304,13,28,1250000,1,LONG
929745095,191304,13,28,1250000,1,LONG
929745113,191304,13,28,1250000,1,LONG
929745142,191304,13,28,1250000,1,LONG
929745162,191304,13,28,1250000,1,LONG
929745603,191242,13,28,5000000,1,LONG
929745875,133703,,,31550100,1,LONG
929746181,133715,,,31550100,1,LONG
929746495,143898,11,28,535000100,1,LONG
929746823,82800,,6,99999900,1,LONG
929747253,133707,,,31550600,1,LONG
929747437,82800,,6,80009600,1,LONG
929747845,82800,,6,499900000,1,LONG
929748062,72146,14,,1887453600,1,LONG
929748246,82800,,6,77500600,1,LONG
929748289,18986,,,354813100,1,LONG
929748642,87215,,,225002700,1,LONG
929748907,161918,13,,1224056200,1,LONG
929749332,109183,1,,125003400,1,LONG
929749580,116691,11,,535000100,1,LONG
929750880,65891,,,1195000000,1,LONG
929751099,82800,,6,15500000,1,LONG
929751459,82800,,6,99999900,1,LONG
929751475,82800,,6,99999900,1,LONG
929751495,82800,,6,99999900,1,LONG
929751668,82800,,6,149999900,1,LONG
929751789,133715,14,,31550100,1,LONG
929751904,133703,14,,31550100,1,LONG
929752017,82800,,6,99999900,1,LONG
929752268,112059,1,,225000000,1,LONG
929781330,201942,13,28,4500000,1,LONG
929781458,201942,13,28,4500000,1,LONG
929781561,201942,13,28,4500000,1,LONG
929781668,201942,13,28,4500000,1,LONG
929782019,193393,13,28,1000000,1,LONG
929786197,36088,,,50000000,1,LONG
929786316,13825,,9,112000,1,LONG
929809950,82800,,6,4500000,1,LONG
929810105,82800,,6,55009900,1,LONG
929831872,191240,13,28,4800000,1,LONG
929831961,82800,,6,7209000,1,LONG
929831988,2901,14,28,139100,1,LONG
929832129,191235,13,28,9500000,1,LONG
929832191,191242,13,28,5000000,1,LONG
929832245,82800,,6,80009600,1,LONG
929832292,82800,,6,378000,1,LONG
929832334,191234,13,28,9985000,1,LONG
929843008,9304,14,28,4993100,1,LONG
929843020,9304,14,28,4993100,1,LONG
929843481,12958,14,28,4999900,1,LONG
929843493,12958,14,28,4999900,1,LONG
929844132,6047,14,28,4999900,1,LONG
929844432,18046,14,28,4999900,1,LONG
929844447,18046,14,28,4999900,1,LONG
929844460,18046,14,28,4999900,1,LONG
929844474,18046,14,28,4999900,1,LONG
929847358,21358,14,28,1294600,1,LONG
929847379,21358,14,28,1294600,1,LONG
929847396,21358,14,28,1294600,1,LONG
929848164,6057,14,28,4990800,1,LONG
929848438,38328,14,28,4991700,1,LONG
929848458,38328,14,28,4991700,1,LONG
929848466,38328,14,28,4991700,1,LONG
929848747,38327,14,28,4991900,1,LONG
929848769,38327,14,28,4991900,1,LONG
929903041,7370,1,9,5000000,1,LONG
929903236,9801,1,9,5000000,1,LONG
929903395,9823,1,9,5000000,1,LONG
929903582,4036,1,9,1000000,1,LONG
929903757,10248,1,9,1000000,1,LONG
929903926,68753,,9,1000000,1,LONG
929904083,3069,1,9,800000,1,LONG
929904241,7415,1,9,10000000,1,LONG
929904425,3656,1,9,5000000,1,LONG
929904621,9800,1,9,5000000,1,LONG
929904760,790,1,9,360000,1,LONG
929905060,5214,1,9,2000000,1,LONG
929905270,8186,1,9,2000000,1,LONG
929905445,15224,1,9,5000000,1,LONG
929906081,6612,1,9,1500000,1,LONG
929906310,6601,1,9,5000000,1,LONG
929906520,6394,1,9,5000000,1,LONG
929906738,68743,,9,5000000,1,LONG
929906946,7356,1,9,5000000,1,LONG
929907123,6614,1,9,890000,1,LONG
929907281,4713,1,9,850000,1,LONG
929907610,6267,,9,5000000,1,LONG
929907825,6337,,9,5000000,1,LONG
929908049,6607,1,9,2000000,1,LONG
929908866,1775,1,9,5000000,1,LONG
929928556,190486,13,28,8515600,1,LONG
929928680,190486,13,28,8515600,1,LONG
929928777,190486,13,28,8515600,1,LONG
929929708,201936,13,28,4988800,1,LONG
929930130,201954,13,28,757000,1,LONG
929931166,201952,13,28,3750000,1,LONG
929938308,82800,,6,59959900,1,LONG
929938421,82800,,6,59959900,1,LONG
929953198,199040,,9,1009400,1,LONG
929953288,199020,,9,920000,1,LONG
929953393,198998,,9,2500000,1,LONG
929953477,199022,,9,8834500,1,LONG
929954532,198127,,,89996300,1,LONG
929981055,190482,13,28,4950000,1,LONG
929982445,55440,,9,1657900,1,LONG
929984870,180752,13,28,9999900,1,LONG
930032456,55261,22,28,85100,1,LONG
930033997,192996,13,28,3500000,1,LONG
930035495,55791,22,28,80200,1,LONG
930052124,193480,13,28,2250000,1,LONG
930052140,193480,13,28,2250000,1,LONG
930052951,193480,13,28,2500000,1,LONG
930052962,193480,13,28,2500000,1,LONG
930052975,193480,13,28,2500000,1,LONG
930053452,191578,,28,880000,1,LONG
930053877,201948,13,28,2000000,1,LONG
930054162,201948,13,28,2900000,1,LONG
930055727,193392,13,28,1750000,1,LONG
930085813,193037,13,28,2509000,1,LONG
930086158,193037,13,28,2509000,1,LONG
930086176,193037,13,28,2509000,1,LONG
930090871,29550,,,15100,1,LONG
930091678,199037,,9,5250000,1,LONG
930092126,4026,1,9,752200,1,LONG
930092376,188709,,9,459300,1,LONG
930092717,1639,1,9,1800400,1,LONG
930093424,14439,1,9,7704700,1,LONG
930093861,3945,1,9,18001500,1,LONG
930094334,3949,1,9,2054200,1,LONG
930096725,14915,1,9,173009400,1,LONG
930097443,1994,1,9,3258900,1,LONG
930098331,199024,,9,4200000,1,LONG
930126842,3609,,28,20000,1,LONG
930155320,82800,,6,1000000100,1,LONG
930207991,193390,13,28,1500000,1,LONG
930208003,193390,13,28,1500000,1,LONG
930208016,193390,13,28,1500000,1,LONG
930208155,193393,13,28,1000000,1,LONG
930208269,193485,13,28,4250000,1,LONG
930208402,193392,13,28,1500000,1,LONG
930208913,193390,13,28,1250000,1,LONG
930209027,193390,13,28,1250000,1,LONG
930218182,15298,,9,2007600,1,LONG
930218620,69798,2,9,2000900,1,LONG
930220360,9770,,9,2090000,1,LONG
930221012,192998,13,28,17250000,1,LONG
930223697,198988,,9,2008100,1,LONG
930224160,199049,,9,2000700,1,LONG
930224469,192998,13,28,17250000,1,LONG
930280234,194060,13,28,33819200,1,LONG
930280270,191239,13,28,9500000,1,LONG
930280299,191240,13,28,4800000,1,LONG
930280334,191233,13,28,9995300,1,LONG
930280409,191236,13,28,17090500,1,LONG
930280444,191238,13,28,18893300,1,LONG
930305237,194476,11,28,25000000,1,LONG
930330269,193036,,28,505500,1,LONG
930332168,198910,16,28,750100,1,LONG
930339232,55653,22,9,34935800,1,LONG
930340671,199033,,9,5155100,1,LONG
930340821,199028,,9,4200000,1,LONG
930360316,159590,,9,2506000,1,LONG
930360439,159497,,9,10000000,1,LONG
930360557,159496,,9,951700,1,LONG
930360716,154864,,9,10000000,1,LONG
930360815,159212,,9,120000000,1,LONG
930360935,161939,13,28,1613500,1,LONG
930361029,161940,13,28,1819800,1,LONG
930361127,161945,13,28,1108300,1,LONG
930361255,161945,13,28,1108300,1,LONG
930361355,161945,13,28,1108300,1,LONG
930361453,161945,13,28,1108300,1,LONG
930361617,161945,13,28,1108300,1,LONG
930361728,161945,13,28,1108300,1,LONG
930361811,161955,13,28,2982000,1,LONG
930361966,161957,13,28,1621900,1,LONG
930362058,161959,13,28,2711600,1,LONG
930362165,161959,13,28,2711600,1,LONG
930362294,161960,13,28,1191100,1,LONG
930362656,4496,,,10100,1,LONG
930362768,4498,,,41000,1,LONG
930362794,4498,,,41000,1,LONG
930383731,5214,1,9,2000000,1,LONG
930383789,25402,2,9,359300,1,LONG
930389359,82800,,,46017700,1,LONG
930390949,36400,5,9,720500,1,LONG
930391334,36402,5,9,52600,1,LONG
930391509,36696,5,9,57100,1,LONG
930391656,121044,,9,4134500,1,LONG
930396636,47646,5,28,107600,1,LONG
930403093,24995,,9,50000200,1,LONG
930403239,24995,,9,50000200,1,LONG
930403438,3914,,,180800,1,LONG
930403802,25092,,9,54001900,1,LONG
930403922,24665,2,9,1372100,1,LONG
930404014,24671,2,9,8231400,1,LONG
930404262,24666,2,9,105100,1,LONG
930404496,47636,5,28,107600,1,LONG
930433070,199232,,,1857400,1,LONG
930446007,36567,,9,5008700,1,LONG
930446393,32739,,28,751300,1,LONG
930497609,159802,,9,254700,1,LONG
930508490,55261,22,28,85100,1,LONG
930508784,55521,22,9,7252400,1,LONG
930509088,82800,,6,7504300,1,LONG
930509661,10390,3,9,17626500,1,LONG
930509918,16251,3,28,201300,1,LONG
930510866,10270,3,9,104000,1,LONG
930511112,8303,3,9,15201000,1,LONG
930511342,10384,3,9,4972000,1,LONG
930511511,10390,3,9,17626500,1,LONG
930512479,82800,,6,9256100,1,LONG
930512500,82800,,6,44341700,1,LONG
930512530,82800,,6,9068700,1,LONG
930512543,10269,3,9,112700,1,LONG
930512562,82800,,6,14452400,1,LONG
930512586,82800,,6,9084800,1,LONG
930512611,82800,,6,139085200,1,LONG
930512641,82800,,6,14934600,1,LONG
930512672,82800,,6,7920000,1,LONG
930512693,82800,,6,10562900,1,LONG
930512718,82800,,6,7703900,1,LONG
930512755,82800,,6,16935100,1,LONG
930512776,82800,,6,8008800,1,LONG
930512805,82800,,6,64888600,1,LONG
930512835,82800,,6,2042300,1,LONG
930512866,82800,,6,9751300,1,LONG
930512892,82800,,6,35416900,1,LONG
930512921,82800,,6,61462800,1,LONG
930512948,82800,,6,21521700,1,LONG
930512972,82800,,,15310500,1,LONG
930512989,82800,,6,20350500,1,LONG
930513019,82800,,6,108355500,1,LONG
930513044,82800,,6,14963800,1,LONG
930513070,82800,,6,17909700,1,LONG
930513100,82800,,6,80002700,1,LONG
930513123,82800,,6,18298000,1,LONG
930513152,82800,,6,72126300,1,LONG
930513178,82800,,6,14846600,1,LONG
930513199,82800,,6,11468900,1,LONG
930513230,82800,,6,5000000,1,LONG
930513256,82800,,6,8801900,1,LONG
930513281,82800,,6,17217600,1,LONG
930513299,82800,,6,65810900,1,LONG
930513325,82800,,6,53767300,1,LONG
930513356,82800,,6,9230000,1,LONG
930513382,82800,,6,20928200,1,LONG
930513407,82800,,6,499900000,1,LONG
930513425,82800,,6,269420000,1,LONG
930513447,82800,,6,28561600,1,LONG
930513464,82800,,6,110623900,1,LONG
930513481,82800,,6,185344000,1,LONG
930513505,82800,,6,15519400,1,LONG
930513539,82800,,6,48453900,1,LONG
930513557,82800,,6,65648800,1,LONG
930513567,13067,3,9,505700,1,LONG
930513580,82800,,6,15513400,1,LONG
930513601,82800,,6,55009900,1,LONG
930513625,82800,,6,19494200,1,LONG
930513650,82800,,6,78271100,1,LONG
930513677,82800,,6,11482700,1,LONG
930513698,6098,,,11349900,1,LONG
930513718,82800,,6,75003100,1,LONG
930513721,82800,,6,7504300,1,LONG
930513742,82800,,6,37647800,1,LONG
930513763,82800,,6,120000000,1,LONG
930513786,82800,,6,8080000,1,LONG
930513816,82800,,,220481200,1,LONG
930513850,35,,,41584000,1,LONG
930513869,82800,,6,69509600,1,LONG
930513897,82800,,6,149000000,1,LONG
930513925,82800,,6,110290000,1,LONG
930513948,82800,,,3500000,1,LONG
930513961,82800,,6,4000000,1,LONG
930513977,82800,,6,136067700,1,LONG
930514007,82800,,6,12002800,1,LONG
930514035,82800,,6,82586900,1,LONG
930514066,82800,,6,215846500,1,LONG
930514087,82800,,6,19324200,1,LONG
930514114,82800,,6,552495800,1,LONG
930514149,52,,,4360000,1,LONG
930514178,82800,,6,10450000,1,LONG
930514203,82800,,6,72435900,1,LONG
930514227,82800,,6,17595100,1,LONG
930514262,82800,,6,56198700,1,LONG
930514290,82800,,6,13818000,1,LONG
930514314,82800,,6,8770000,1,LONG
930514331,8132,,9,505000,1,LONG
930514342,82800,,6,9500000,1,LONG
930514367,82800,,6,22642700,1,LONG
930514388,82800,,6,104346700,1,LONG
930514410,82800,,6,6690000,1,LONG
930514433,82800,,6,19000000,1,LONG
930514450,82800,,6,37767300,1,LONG
930514484,82800,,6,16104600,1,LONG
930514485,82800,,6,99000000,1,LONG
930514507,82800,,6,110137400,1,LONG
930514532,82800,,6,6798800,1,LONG
930514559,82800,,6,4990000,1,LONG
930514580,82800,,6,93175800,1,LONG
930514604,82800,,6,247258400,1,LONG
930514637,82800,,6,45374600,1,LONG
930514666,82800,,,116154400,1,LONG
930514691,82800,,6,65761000,1,LONG
930514711,82800,,6,35701800,1,LONG
930514737,82800,,6,98704500,1,LONG
930514768,82800,,6,90163300,1,LONG
930514798,82800,,6,192162000,1,LONG
930514829,82800,,6,11702400,1,LONG
930514852,82800,,6,100527300,1,LONG
930514877,82800,,6,48740000,1,LONG
930514905,82800,,6,80662500,1,LONG
930514927,82800,,6,8213600,1,LONG
930514955,82800,,6,3654200,1,LONG
930514978,82800,,6,14395000,1,LONG
930515006,82800,,6,9170400,1,LONG
930515033,82800,,6,59261700,1,LONG
930515051,82800,,6,16255700,1,LONG
930515083,82800,,6,28102200,1,LONG
930515103,82800,,6,87849300,1,LONG
930515132,82800,,6,19500000,1,LONG
930515153,82800,,6,55112900,1,LONG
930515179,82800,,6,22800000,1,LONG
930515201,82800,,6,13962900,1,LONG
930517164,188722,,9,799900,1,LONG
930534187,15635,54,9,52561500,1,LONG
930534296,10276,1,9,26084200,1,LONG
930534326,106391,,9,62357500,1,LONG
930534359,14916,1,9,61212300,1,LONG
930534392,12999,,9,70496000,1,LONG
930534422,4717,1,9,386925900,1,LONG
930534456,15170,,9,49931600,1,LONG
930534490,55533,,9,40005000,1,LONG
930536295,15187,,9,40269400,1,LONG
930536326,2245,1,9,613000200,1,LONG
930536381,116515,,9,56122500,1,LONG
930537080,11208,1,,152100,1,LONG
930537188,11225,1,,252400,1,LONG
930537305,16248,1,,259100,1,LONG
930537530,31153,1,9,223219700,1,LONG
930537568,66983,,9,172963000,1,LONG
930537615,10573,1,9,2908178900,1,LONG
930537650,9892,1,9,28049700,1,LONG
930537686,3414,1,9,5773317800,1,LONG
930537719,15673,,9,98726500,1,LONG
930537759,14334,,,48548200,1,LONG
930538104,36374,,,502800,1,LONG
930538318,24688,,,819100,1,LONG
930538423,82800,,,209900,1,LONG
930538679,36378,,,500300,1,LONG
930538732,15393,,9,48533700,1,LONG
930538761,164400,14,28,265870400,1,LONG
930538784,164484,14,28,545955000,1,LONG
930538812,3313,1,9,172555900,1,LONG
930538841,3214,,28,40142000,1,LONG
930538885,4060,1,9,34933800,1,LONG
930538887,36264,,,500500,1,LONG
930538897,25325,1,9,134546200,1,LONG
930538926,14682,,9,74958800,1,LONG
930539017,141566,26,,1197042100,1,LONG
930539089,14214,,9,32500000,1,LONG
930539120,15654,,9,36246400,1,LONG
930539243,4795,14,28,29865400,1,LONG
930539266,15931,1,9,72217700,1,LONG
930539295,14330,,9,12082900,1,LONG
930539320,15670,1,9,26991700,1,LONG
930539350,15438,54,9,51564600,1,LONG
930539376,31186,,,71029200,1,LONG
930539400,14306,54,9,367277600,1,LONG
930539432,7491,,9,17625800,1,LONG
930540483,55303,2,9,345848900,1,LONG
930541468,164524,31,28,525882900,1,LONG
930541498,163962,54,28,1500000000,1,LONG
930541537,15511,1,9,465456900,1,LONG
930541571,25132,2,9,43209300,1,LONG
930541605,6417,1,9,34223500,1,LONG
930541644,14786,1,9,17558600,1,LONG
930541677,3315,,9,851494100,1,LONG
930541710,7787,1,9,339358400,1,LONG
930541738,15128,,9,6297900,1,LONG
930541767,14724,1,9,92578900,1,LONG
930541793,14934,,9,74992300,1,LONG
930541830,13057,54,9,86829400,1,LONG
930541862,37808,36,9,699357800,1,LONG
930541895,14184,54,9,145952800,1,LONG
930541923,14159,54,9,44922900,1,LONG
930541959,8320,1,9,14154900,1,LONG
930541989,15601,1,9,146285700,1,LONG
930542015,15163,1,9,43375100,1,LONG
930542047,14904,54,9,107865400,1,LONG
930542083,14652,1,9,20870400,1,LONG
930542120,15112,1,9,32519100,1,LONG
930542161,8258,1,9,3450100,1,LONG
930542200,37812,1,9,316458600,1,LONG
930542231,14929,,9,77668900,1,LONG
930542268,13112,,9,179017400,1,LONG
930542294,14915,,9,173009400,1,LONG
930542321,87490,2,9,4834420200,1,LONG
930542393,25226,1,9,636240200,1,LONG
930542430,25031,1,9,105469500,1,LONG
930542463,15143,,9,30744200,1,LONG
930542609,7441,53,9,29370500,1,LONG
930542636,14571,1,9,33122100,1,LONG
930542678,8309,,9,192360600,1,LONG
930542712,24699,1,9,264464500,1,LONG
930542743,14846,1,9,61959400,1,LONG
930542785,8307,1,9,8610100,1,LONG
930542845,36130,1,9,30812100,1,LONG
930542920,13106,,9,47023400,1,LONG
930542972,15644,,9,99964800,1,LONG
930543120,14927,,9,81131300,1,LONG
930543161,10405,1,28,41630000,1,LONG
930543228,87423,,9,620018800,1,LONG
930543306,14278,1,9,13662400,1,LONG
930543710,6398,1,9,23642800,1,LONG
930543735,3395,1,28,3320400,1,LONG
930543767,14938,,9,153758400,1,LONG
930543799,10581,1,9,4083106900,1,LONG
930543834,15643,1,9,23232900,1,LONG
930543857,2877,,9,50549500,1,LONG
930543877,164452,11,28,101620300,1,LONG
930543908,15637,,9,97188300,1,LONG
930544824,15151,1,9,28510400,1,LONG
930544851,106398,,9,57504500,1,LONG
930544883,15683,,9,221517400,1,LONG
930544921,14250,1,9,27198300,1,LONG
930544944,14834,1,9,104335300,1,LONG
930544972,36357,1,9,42838700,1,LONG
930545014,6389,1,9,82739400,1,LONG
930545052,14670,1,9,61202800,1,LONG
930545086,94574,,28,1124194900,1,LONG
930545109,15947,1,9,626803400,1,LONG
930545138,14582,1,9,136333700,1,LONG
930545168,15639,1,9,57408100,1,LONG
930545193,7609,1,9,108955500,1,LONG
930545223,35190,,28,1543618000,1,LONG
930545258,4040,1,9,47778700,1,LONG
930545287,12990,1,9,102609300,1,LONG
930545319,10368,1,9,9558700,1,LONG
930546143,14950,1,9,28652500,1,LONG
930546232,8299,1,9,25674100,1,LONG
930546262,6396,1,9,37564900,1,LONG
930546295,3308,,9,59862700,1,LONG
930546335,25089,1,9,46834200,1,LONG
930546366,14803,,9,84727000,1,LONG
930546402,15145,,9,39956600,1,LONG
930546430,14687,3,9,6664700,1,LONG
930546462,31190,1,9,56016900,1,LONG
930546500,116460,,9,45830900,1,LONG
930546538,25135,36,9,288326000,1,LONG
930546575,15430,,,101511200,1,LONG
930546619,15580,1,9,48111400,1,LONG
930546656,14779,1,9,62328500,1,LONG
930546690,7410,1,9,20902600,1,LONG
930546719,141567,26,,644229900,1,LONG
930546757,24811,1,9,96215000,1,LONG
930546790,106470,,9,52990000,1,LONG
930546822,12542,1,9,72641700,1,LONG
930546860,15646,,9,46688300,1,LONG
930546895,2278,,9,52391300,1,LONG
930546935,15979,,9,5000000,1,LONG
930546968,4039,1,9,38786200,1,LONG
930547003,25275,1,9,782080200,1,LONG
930547046,8127,1,9,49586300,1,LONG
930547080,14304,,9,48240000,1,LONG
930547112,116476,,9,498372900,1,LONG
930547155,15941,2,9,2729653500,1,LONG
930547189,24817,1,9,11284700,1,LONG
930547222,187021,,28,5019999800,1,LONG
930547256,164338,11,,65386700,1,LONG
930547298,164358,14,28,430909700,1,LONG
930547342,21804,3,9,27288000,1,LONG
930547380,13012,,9,17394400,1,LONG
930547412,24921,1,9,324337100,1,LONG
930547449,14333,3,9,51790700,1,LONG
930547482,14949,1,9,38033600,1,LONG
930547521,24757,1,9,2330200,1,LONG
930553930,201944,13,28,4850000,1,LONG
930554051,201944,13,28,4850000,1,LONG
930554175,201944,13,28,4850000,1,LONG
930559787,164351,11,28,169579500,1,LONG
930559824,14957,,9,65547200,1,LONG
930559872,14194,54,9,113994600,1,LONG
930559914,6413,1,9,61999500,1,LONG
930559948,15640,,9,118417800,1,LONG
